question,answer,cleaned_question,cleaned_answer
"no, thanks. just let me sleep until i wake up.",i'll start dinner at 6:00.,thank let sleep wake,start dinner
i'll start dinner at 6:00.,okay. i think i'll be awake by then.,start dinner,okay think awake
okay. i think i'll be awake by then.,"if not, your nose will wake you up.",okay think awake,nose wake
"if not, your nose will wake you up.",you mean i will smell the food cooking?,nose wake,mean smell food cooking
you mean i will smell the food cooking?,you might even dream about dinner.,mean smell food cooking,dream dinner
you might even dream about dinner.,i don't think i'm going to dream about anything. i'm really tired.,dream dinner,think go dream tired
i don't think i'm going to dream about anything. i'm really tired.,have a nice nap.,think go dream tired,nice nap
that was a nice funeral.,"yes, dad, it was.",nice funeral,yes dad
"yes, dad, it was.",the son gave a nice speech about his father.,yes dad,son give nice speech father
the son gave a nice speech about his father.,"it was long, too.",son give nice speech father,long
"it was long, too.",i think it was about 45 minutes long.,long,think minute long
i think it was about 45 minutes long.,but it went by fast. it was interesting.,think minute long,go fast interesting
but it went by fast. it was interesting.,i liked it.,go fast interesting,like
i liked it.,"i'll give you a speech like that, too.",like,speech like
"i'll give you a speech like that, too.",do you think anyone will come to my funeral?,speech like,think come funeral
do you think anyone will come to my funeral?,of course.,think come funeral,course
of course.,i think only the family will be there.,course,think family
i think only the family will be there.,"you have lots of friends. they will be there, too!",think family,lot friend
yikes! what was that noise?,i had to blow my nose.,yike noise,blow nose
i had to blow my nose.,did you have to blow right next to the phone?,blow nose,blow right phone
did you have to blow right next to the phone?,did you hear that?,blow right phone,hear
did you hear that?,of course i heard that. i thought a plane had crashed into your house.,hear,course hear think plane crash house
of course i heard that. i thought a plane had crashed into your house.,it wasn't that loud.,course hear think plane crash house,loud
it wasn't that loud.,"i will blow my nose sometime for you, and you'll see.",loud,blow nose
"i will blow my nose sometime for you, and you'll see.",okay. i'll take your word for it.,blow nose,okay word
okay. i'll take your word for it.,i thought you had an elephant in your house.,okay word,think elephant house
i thought you had an elephant in your house.,you're funny.,think elephant house,funny
you're funny.,what did you say? i think i've gone deaf.,funny,think go deaf
what did you say? i think i've gone deaf.,i'm going into the bathroom to blow my nose. i'll be right back.,think go deaf,go bathroom blow nose right
i have lots of friends.,really? how many do you have?,lot friend,
really? how many do you have?,"i don't know, maybe one hundred.",,know maybe
"i don't know, maybe one hundred.",that is a lot of friends. do you have a best friend?,know maybe,lot friend good friend
that is a lot of friends. do you have a best friend?,of course. i have lots of best friends.,lot friend good friend,course lot good friend
of course. i have lots of best friends.,how many best friends do you have?,course lot good friend,good friend
how many best friends do you have?,i think about twenty-five.,good friend,think
i think about twenty-five.,hmm. i have only one best friend.,think,hmm good friend
hmm. i have only one best friend.,i feel sorry for you.,hmm good friend,feel sorry
i feel sorry for you.,i have only a few friends.,feel sorry,friend
i have only a few friends.,you must be lonely. i will share my friends with you.,friend,lonely share friend
you must be lonely. i will share my friends with you.,that's very nice of you.,lonely share friend,nice
don't you ever cheat on me.,why would i do that?,cheat,
why would i do that?,because men like to cheat.,,man like cheat
because men like to cheat.,"some men do, but not me.",man like cheat,man
"some men do, but not me.",i'm watching you.,man,watch
i'm watching you.,i'm an open book. watch me all you want.,watch,open book watch want
i'm an open book. watch me all you want.,"if i catch you, you'll be sorry.",open book watch want,catch sorry
"if i catch you, you'll be sorry.","you won't catch me, because i love you. i'm not a cheater.",catch sorry,will catch love cheater
"you won't catch me, because i love you. i'm not a cheater.",i will poke your eyes out. ,will catch love cheater,poke eye
i will poke your eyes out. ,i don't want any other woman.,poke eye,want woman
i don't want any other woman.,"i will chop your toes off, one by one.",want woman,chop toe
"i will chop your toes off, one by one.","honey, please. you're the only woman for me, forever. i swear it.",chop toe,honey woman forever swear
i hate to go outside.,me too.,hate outside,
me too.,why do you hate to go outside?,,hate outside
why do you hate to go outside?,i meet too many jerks.,hate outside,meet jerk
i meet too many jerks.,i agree.,meet jerk,agree
i agree.,this city is full of jerks.,agree,city jerk
this city is full of jerks.,rude people are everywhere.,city jerk,rude people
rude people are everywhere.,but what can you do?,rude people,
but what can you do?,you can yell at them.,,yell
you can yell at them.,and they will yell back at you.,yell,yell
and they will yell back at you.,yelling doesn't do any good.,yell,yelling good
yelling doesn't do any good.,no. the best thing to do is just stay home.,yelling good,good thing stay home
will you look at this form?,are you having problems with it?,look form,have problem
are you having problems with it?,i don't understand some things.,have problem,understand thing
i don't understand some things.,let me help you.,understand thing,let help
let me help you.,"what does ""mi"" mean?",let help,mi mean
"what does ""mi"" mean?",mi stands for middle initial.,mi mean,mi stand middle initial
mi stands for middle initial.,"what does ""mm/dd/yy"" mean?",mi stand middle initial,mm dd yy mean
"what does ""mm/dd/yy"" mean?",that means month/day/year. use numbers.,mm dd yy mean,mean month day year use number
that means month/day/year. use numbers.,i don't understand.,mean month day year use number,understand
i don't understand.,"for example, if your birth date is january 12, 1987, write 01/12/87.",understand,example birth date january write
"for example, if your birth date is january 12, 1987, write 01/12/87.",oh. that's simple enough.,example birth date january write,oh simple
oh. that's simple enough.,"always print clearly, and fill in the bubbles completely.",oh simple,print clearly fill bubble completely
let's go to the animal shelter.,what do you want to do?,let animal shelter,want
what do you want to do?,i want to get a puppy for my son.,want,want puppy son
i want to get a puppy for my son.,that will make him so happy.,want puppy son,happy
that will make him so happy.,i'll get him one of those little dogs.,happy,little dog
i'll get him one of those little dogs.,one that won't grow up too big.,little dog,will grow big
one that won't grow up too big.,and eat too much.,will grow big,eat
and eat too much.,do you know which one he would like?,eat,know like
do you know which one he would like?,"oh, yes, i took him there yesterday. he showed me one that he really liked.",know like,oh yes take yesterday show like
"oh, yes, i took him there yesterday. he showed me one that he really liked.",i bet you had to drag him away.,oh yes take yesterday show like,bet drag away
i bet you had to drag him away.,he wanted to take it home yesterday.,bet drag away,want home yesterday
he wanted to take it home yesterday.,i wonder what he'll name it.,want home yesterday,wonder
what's the weather like?,i don't know. i just woke up.,weather like,know wake
i don't know. i just woke up.,why don't you look outside?,know wake,look outside
